text,label
"Congratulations! You've won a $1,000 gift card. Click here to claim your prize.",spam
"Hi, I wanted to follow up on our meeting scheduled for next week.",ham
"Earn money from home! Start your own business today and make thousands of dollars.",spam
"Hello, can you please send me the report by tomorrow?",ham
"Get paid to work from home! Sign up now and start earning today.",spam
"Hi team, let's review the project progress in our next meeting.",ham
"Limited time offer! Buy one get one free on all items.",spam
"Dear John, I hope you are doing well. Looking forward to our catch-up.",ham
"Win a free vacation! Enter our sweepstakes for a chance to win.",spam
"Please find attached the files you requested. Let me know if you need anything else.",ham
